"content_id","question_or_title","all_choices","correct_answer_number","explanation_or_body","recorded_source","recorded_url","related_child_ids"
"493","香粧品成分の「香粧品化学：乳化」と「香粧品化学：紫外線防御成分」に関する次の記述のうち、いずれの内容も正しいものはどれか。","1.【観点1】水相と油相を細かく分散させ、安定な状態に近づけること。
【観点2】紫外線散乱剤には酸化チタンや酸化亜鉛等があり、紫外線を散乱・反射する。 | 2.【観点1】水相と油相を細かく分散させ、安定な状態に近づけること。
【観点2】紫外線吸収剤は、紫外線を物理的に散乱・反射する無機粉体を指す。 | 3.【観点1】油性成分を水へ完全に溶解し、分子の状態にすること。
【観点2】紫外線散乱剤には酸化チタンや酸化亜鉛等があり、紫外線を散乱・反射する。 | 4.【観点1】油性成分を水へ完全に溶解し、分子の状態にすること。
【観点2】紫外線吸収剤は、紫外線を物理的に散乱・反射する無機粉体を指す。","1","【香粧品化学：乳化】
・水相と油相を細かく分散させ、安定な状態に近づけること。 【香粧品化学：紫外線防御成分】
・紫外線散乱剤には酸化チタンや酸化亜鉛等があり、紫外線を散乱・反射する。 対象、条件、作用又は手順を取り違えないように整理する。","医薬品医療機器等法・化粧品基準","https://laws.e-gov.go.jp/law/335AC0000000145","A-OTHER-FC27D3FA0F-02"
"48","理容師試験の筆記試験科目に含まれないものはどれか。","1.衛生管理 | 2.保健 | 3.運営管理 | 4.理容実技","4","・根拠：理容師法施行規則第12条
・判断基準：理容実技は実技試験の課目であり、筆記試験の課目ではない。衛生管理、保健及び運営管理は、理容師法施行規則第12条に掲げられた筆記試験の課目である。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","A-OTHER-8A5294335C-02|A-OTHER-05D12F7683-01|A-OTHER-8E9FD6EA77-01|A-OTHER-87465AE178-01"
"","衛生管理：洗浄","","","消毒の前に汚れを落とす作業である。汚れが残ると消毒効果が弱くなる。","","","A-OTHER-DE7EEECC9E-01"
"","衛生管理：滅菌","","","すべての微生物を死滅または除去する処理であり、消毒より厳密な概念である。","","","A-OTHER-4A400F9E2C-01"
"","衛生管理：煮沸消毒","","","熱を利用する消毒法で、耐熱性のある器具に用いる。熱に弱いものには不向きである。","","","A-OTHER-8A4828107D-01"
"","衛生管理：エタノール消毒","","","一定濃度のアルコールで消毒する方法である。汚れを落としてから使うことが大切である。","","","A-OTHER-C811132DFD-01"
"","衛生管理：次亜塩素酸ナトリウム","","","消毒に用いられる薬剤である。濃度、時間、金属腐食、換気に注意する。","","","A-OTHER-16D5DC3A60-01"
"","衛生管理：逆性石けん","","","陽イオン界面活性剤の一種で、消毒薬として用いられる。石けん分や汚れで効果が落ちることがある。","","","A-OTHER-6E332972FC-01"
"","衛生管理：器具保管","","","消毒後の器具は再汚染を避け、清潔に保管する。未処理の器具と分ける。","","","A-OTHER-CC51EBA1D0-01"
"","衛生管理：消毒薬の濃度","","","消毒薬は適切な濃度で使用する。濃すぎても薄すぎても問題になることがある。","","","A-OTHER-CA7B3F5826-01"
"","衛生管理：消毒時間","","","消毒には必要な作用時間がある。短すぎると十分な効果が得られない。","","","A-OTHER-3E1D245DC0-01"
"","衛生管理：衛生管理の記録","","","清掃や消毒を記録すると、作業の抜け漏れ防止と見直しに役立つ。","","","A-OTHER-2E33496F82-01"
